id,name,url,descr,logo,mood
1,Yacht Rachin Radio,http://streaming.live365.com/a78484,Ya knot rockin unless  your Yacht Rachin,https://item.radio456.com/007452/330159/logo-101671.png,retro
2,Soma – Groove Salad,http://ice2.somafm.com/groovesalad-256-mp3,A nicely chilled plate of ambient/downtempo beats and grooves.,https://so>,mellow
3,The Departure Lounge,http://streamer.radio.co/s33849eced/listen,Music for the Jet Set,https://moodeaudio.org/forum/attachment.php?thumbnail=2897,ornery
4,Soma - Lush,http://ice6.somafm.com/lush-128-mp3,Sensuous and mellow vocals mostly female with an electronic influence.,https://somafm.co>,mellow
5,Purple Radio,https://purplecurrent.stream.publicradio.org/purplecurrent.mp3,All Prince All the time,https://moodeaudio.org/forum/attachment.php?aid=3069,funky
6,Soma - Beat Blender,http://ice6.somafm.com/beatblender-128-mp3,A late night blend of deep-house and downtempo chill.,https://somafm.com/>,mellow
7,Soma - Heavyweight Reggae,http://ice3.somafm.com/reggae-256-mp3,Reggae Ska Rocksteady classic and deep tracks.,https://somafm.com/img3/r>,mellow
8,Sixty North,http://r3.zetcast.net/stream,'60 North – United Kingdom,https://item.radio456.com/007452/330159/logo-90258.png,ornery
9,KCSM,http://ice7.securenetsystems.net/KCSM2,San Mateo Jazz,https://moodeaudio.org/forum/attachment.php?thumbnail=2285,jazzy
10,Barfly,http://ec2.yesstreaming.net:3350/stream,Greece,https://item.radio456.com/007452/330159/logo-77290.png,ornery
11,Soma - Indie Pop Rocks,http://ice2.somafm.com/indiepop-128-mp3,New and classic favorite indie pop tracks.,https://somafm.com/img3/indiep>,mellow
12,CDNX,http://msmn7.co:8012,Camden Experience,https://cdn-radiotime-logos.tunein.com/s24451d.png,ornery
13,Radio Swiss Jazz,https://stream.srg-ssr.ch/m/rsj/mp3_128, Basel's Laid Back Jazz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/>,jazzy
14,Soma - Underground 80's,http://ice4.somafm.com/u80s-256-mp3,Early 80s UK Synthpop and a bit of New Wave.,https://somafm.com/img3/u80s-400.png,retro
15,ChillTrax,http://server1.chilltrax.com:9000/,Ambient Chill,https://www.chilltrax.com/images/specialty/default-album-cover.png,mellow
16,Soma – Bagel Radio,http://ice2.somafm.com/bagel-128-mp3,What alternative rock radio should sound like.,https://somafm.com/img3/bagel-400.png,ornery
17,Lounge-Radio,http://nl1.streamhosting.ch/,Switzerland Chill,https://lounge-radio.com/images/lounge-radio.com.png,mellow
18,Aardvark Blues FM,http://edge4.peta.live365.net/b77280_128mp3,- United States -,https://www.radio.net/images/broadcasts/f0/66/17858/c300.png,blues
19,The Blues Cove,https://radio.streemlion.com:2075/stream,- Toronto  ON Canada -,https://www.radio.net/images/broadcasts/cb/89/131120/1/c300.png,blues
20,Blues Music Fan Radio,http://ais-sa2.cdnstream1.com/1992_128.mp3,- United States -,https://www.radio.net/images/broadcasts/d4/69/29778/1/c300.png,blues
21,Soma - Christmas Lounge,http://ice4.somafm.com/christmas-256-mp3,Where Christmas Classics get old and old real fast,https://somafm.com/>,seasonal
22,Amazing Blues,http://stream.amazingradios.com/blues,- USA - ,https://www.radio.net/images/broadcasts/f8/3a/38285/1/c300.png,ornery
23,Soma – 7 inch Soul,http://ice2.somafm.com/7soul-128-mp3,Vintage soul tracks from the original 45 RPM vinyl. ,https://somafm.com/img3/7s>,funky
